Category,Overallrating,NumberReviews,PriceRange,Name
Italian,4,657,$$,Caffe Sport
Korean,4,239,$$,Wang Dae Bak
Latin American,4,304,$$,Gilberth’s Latin Fusion Restaurant
Halal,4,146,$$,Eden Silk Road Cuisine
French,4,1608,$$$$,Jardiniere
Chicken Wings,4,69,$$,Odumak
American (New),4.5,227,$$,20 Spot
Dim Sum,4,125,$$,Toppu Ramen & Dim Sum House
Italian,4,382,$$,Mangia Tutti Ristorante
American (New),4,1515,$$$,The Rotunda
Bars,3.5,960,$$,Teeth SF
Cocktail Bars,4,81,$$,Rooftop 25
Bowling,4,577,$$,Mission Bowling Club
Peruvian,3.5,2371,$$,Limón Rotisserie
Mexican,4.5,19,$,Casa Barajas
Soul Food,4,2060,$$,Hard Knox Cafe
American (New),4,521,$$$,Garibaldi’s
Japanese,4,191,$$,Kaisen DON
Korean,4,370,$$,K-Elements BBQ
Japanese,4,809,$$$,Pabu
Sushi Bars,4,1193,$$,Live Sushi Bar
Korean,4,732,$$,Muguboka Restaurant
Japanese,5,14,$$,The Shota
Sushi Bars,4.5,162,$$$$,Ijji Sushi
Burgers,4,330,$$,Calibur
Sushi Bars,4,1694,$$,Ebisu
Bars,4,355,$$,Last Drop Tavern
Bakeries,4,2247,$,Good Mong Kok Bakery
