Category,Overallrating,Name,Delivery,NumberReviews,PriceRange
Burgers,4,Pearl’s Deluxe Burgers,No,2077,$$
American (New),4,AVERY,No,50,$$$$
Japanese,4,Shabu House,No,473,$$
Vietnamese,4,Laksa,Yes,241,$$
Steakhouses,4,Roka Akor - San Francisco,No,1118,$$$$
Burmese,4.5,Beyond Burma,No,27,$$
Hawaiian,4.5,Trailblazer Tavern,N/A,32,$$
Italian,3.5,Flour + Water,No,2173,$$$
Chinese,3.5,Z & Y Restaurant,No,1438,$$
Tea Rooms,4,Samovar Tea - Yerba Buena Gardens,Yes,2245,$$
American (New),4,1760,No,665,$$$
American (Traditional),4,Delancey Street Restaurant,No,1500,$$
Wine Bars,4.5,Indian Paradox,No,136,$$
Thai,4.5,Ben Thai Cafe,No,373,$$
Pizza,4.5,Piccolo Forno,No,441,$$
French,4.5,Revelry Bistro,No,177,$$$
Sports Bars,4,Rumors,No,249,$$
Italian,4.5,Il Pollaio,No,365,$$
Korean,4,Jin Mi Korean Cuisine,N/A,414,$$
Italian,4,Spiazzo Ristorante,No,607,$$
Malaysian,4,Azalina’s,Yes,269,$$
Soul Food,4,Hard Knox Cafe,No,2062,$$
Barbeque,3.5,International Smoke,N/A,718,$$$
Cambodian,4,Angkor Borei,Yes,501,$$
Dim Sum,4,Harborview Restaurant & Bar,No,55,$$
Steakhouses,4,Alexander’s Steakhouse,No,1598,$$$$
Chinese,4,Orchids Cafe,No,91,$$
Greek,4,Souvla,Yes,1144,$$
Korean,4,Hwaro,No,185,$$
Cuban,4,El Nuevo Frutilandia,No,343,$$
Bakeries,4,Boudin Bakery & Cafe,No,3034,$$
Asian Fusion,3.5,Crustacean,No,1404,$$$
Food Stands,3.5,Fisherman’s Wharf  Chowder and Crab Sidewalk Stands,No,389,$$
American (New),4,The Rotunda,No,1516,$$$
Caribbean,4,Kaya,No,128,$$
Italian,4,Nob Hill Cafe,No,1203,$$
Bars,4,The Brick Yard,Yes,581,$$
German,4,Walzwerk,No,958,$$
Vietnamese,4,Jasmine Garden,No,634,$$
Korean,4,Seokyo,Yes,80,$$
Pizza,5,Square Pie Guys,No,27,$$
Latin American,4.5,School Night,No,64,$$
Italian,4.5,Albona Ristorante Istriano,No,660,$$$
Asian Fusion,4.5,The Spice Jar,No,302,$$
Wine Bars,4.5,The Richmond,No,654,$$$
American (New),3,Momo’s,No,851,$$
Mexican,3.5,Cadillac Bar & Grill,No,287,$$
Italian,4,Barzotto,Yes,448,$$
American (New),3.5,Palomino,No,2489,$$
Indian,4.5,Curry Leaf,No,534,$$
Italian,4,Vixi,No,172,$$
Latin American,4.5,The Castro Republic,Yes,267,$$
Mexican,3.5,Tacolicious,Yes,1534,$$
Pizza,4,Delarosa,No,942,$$
Sushi Bars,4,Okane,Yes,287,$$
Teppanyaki,4,Super Pan,Yes,310,$$
French,4.5,Atelier Crenn,No,649,$$$$
Taiwanese,4,Tasty Pot,No,372,$$
Soul Food,3.5,Little Skillet,Yes,1915,$$
French,4,Monsieur Benjamin,No,838,$$$
Belgian,4,La Trappe,No,817,$$
Mexican,3,Rosa Mexicano,Yes,644,$$
Hot Pot,4.5,Nabe,No,154,$$
Pizza,4.5,Mozzeria,Yes,679,$$
Gluten-Free,4,Pica Pica Arepa Kitchen,Yes,1376,$$
Sushi Bars,4.5,Omakase,No,372,$$$$
Wine Bars,4,Fat Angel,No,804,$$
Seafood,4.5,Anchor Oyster Bar,No,1402,$$$
Cocktail Bars,4.5,Fifth Arrow,No,46,$$
Korean,4,Stone Bowl Plus,Yes,140,$$
Mini Golf,4.5,Urban Putt,No,1224,$$
Chinese,4,IPOT,No,787,$$
Latin American,4,Alma Cocina,Yes,197,$$
American (New),4.5,3rd Cousin,No,201,$$$
Hawaiian,4.5,Huli Huli Hawaiian Grill,No,244,$
Ramen,4,Orenchi Beyond,No,550,$$
Latin American,4.5,Pico Latin Street Food,N/A,21,$$
American (New),4,Son’s Addition,No,179,$$$
Bars,4,Last Drop Tavern,Yes,355,$$
Thai,4,Pagan Restaurant,No,503,$$
Bakeries,4,Tartine Bakery & Cafe,No,7487,$$
Gastropubs,4.5,Trademark & Copyright,No,171,$$
Korean,3.5,Zazang Korean Noodles,No,455,$$
Italian,4,Firenze by Night Ristorante,No,933,$$
Shanghainese,4.5,Jiangnan Cuisine,No,165,$$
American (New),4,Street Restaurant and Bar,No,616,$$
Korean,3,Yakiniq,No,1269,$$
Korean,4,Muguboka Restaurant,No,733,$$
Pizza,4,Gialina Pizzeria,No,1083,$$
Senegalese,3.5,Bissap Baobab,Yes,891,$$
Szechuan,4.5,Szechuan Cuisine,Yes,223,$$
